,City,Country,Error Code
0,asau,tv,"{'cod': '404', 'message': 'city not found'}"
1,illoqqortoormiut,gl,"{'cod': '404', 'message': 'city not found'}"
2,kamenskoye,ru,"{'cod': '404', 'message': 'city not found'}"
3,ljubimec,bg,"{'cod': '404', 'message': 'city not found'}"
4,belushya guba,ru,"{'cod': '404', 'message': 'city not found'}"
5,grand river south east,mu,"{'cod': '404', 'message': 'city not found'}"
6,taolanaro,mg,"{'cod': '404', 'message': 'city not found'}"
7,cazaje,ao,"{'cod': '404', 'message': 'city not found'}"
8,avera,pf,"{'cod': '404', 'message': 'city not found'}"
9,mataura,pf,"{'cod': '404', 'message': 'city not found'}"
10,carmen,mx,"{'cod': '404', 'message': 'city not found'}"
11,tsihombe,mg,"{'cod': '404', 'message': 'city not found'}"
12,huangyan,cn,"{'cod': '404', 'message': 'city not found'}"
13,bengkulu,id,"{'cod': '404', 'message': 'city not found'}"
14,cheuskiny,ru,"{'cod': '404', 'message': 'city not found'}"
15,tukrah,ly,"{'cod': '404', 'message': 'city not found'}"
16,toliary,mg,"{'cod': '404', 'message': 'city not found'}"
17,airai,pw,"{'cod': '404', 'message': 'city not found'}"
18,barentsburg,sj,"{'cod': '404', 'message': 'city not found'}"
19,lata,sb,"{'cod': '404', 'message': 'city not found'}"
20,odweyne,so,"{'cod': '404', 'message': 'city not found'}"
21,ayan,ru,"{'cod': '404', 'message': 'city not found'}"
22,codrington,ag,"{'cod': '404', 'message': 'city not found'}"
23,faya,td,"{'cod': '404', 'message': 'city not found'}"
24,samusu,ws,"{'cod': '404', 'message': 'city not found'}"
25,saint-pascal,ca,"{'cod': '404', 'message': 'city not found'}"
26,dzhusaly,kz,"{'cod': '404', 'message': 'city not found'}"
27,galiwinku,au,"{'cod': '404', 'message': 'city not found'}"
28,bolungarvik,is,"{'cod': '404', 'message': 'city not found'}"
29,vaitupu,wf,"{'cod': '404', 'message': 'city not found'}"
30,mahadday weyne,so,"{'cod': '404', 'message': 'city not found'}"
31,pemangkat,id,"{'cod': '404', 'message': 'city not found'}"
32,rostusa,mk,"{'cod': '404', 'message': 'city not found'}"
33,nizhneyansk,ru,"{'cod': '404', 'message': 'city not found'}"
34,shkotovo-26,ru,"{'cod': '404', 'message': 'city not found'}"
35,shkotovo-22,ru,"{'cod': '404', 'message': 'city not found'}"
36,saint anthony,ca,"{'cod': '404', 'message': 'city not found'}"
37,san quintin,mx,"{'cod': '404', 'message': 'city not found'}"
38,khani,ru,"{'cod': '404', 'message': 'city not found'}"
39,halalo,wf,"{'cod': '404', 'message': 'city not found'}"
40,asfi,ma,"{'cod': '404', 'message': 'city not found'}"
41,sentyabrskiy,ru,"{'cod': '404', 'message': 'city not found'}"
42,bengkalis,id,"{'cod': '404', 'message': 'city not found'}"
43,safaga,eg,"{'cod': '404', 'message': 'city not found'}"
44,bairiki,ki,"{'cod': '404', 'message': 'city not found'}"
45,bara,sd,"{'cod': '404', 'message': 'city not found'}"
46,warqla,dz,"{'cod': '404', 'message': 'city not found'}"
47,palabuhanratu,id,"{'cod': '404', 'message': 'city not found'}"
48,banmo,mm,"{'cod': '404', 'message': 'city not found'}"
49,tabiauea,ki,"{'cod': '404', 'message': 'city not found'}"
50,krasnoselkup,ru,"{'cod': '404', 'message': 'city not found'}"
51,saleaula,ws,"{'cod': '404', 'message': 'city not found'}"
52,mys shmidta,ru,"{'cod': '404', 'message': 'city not found'}"
53,chikoy,ru,"{'cod': '404', 'message': 'city not found'}"
54,lasa,cn,"{'cod': '404', 'message': 'city not found'}"
55,naftah,tn,"{'cod': '404', 'message': 'city not found'}"
56,gat,ly,"{'cod': '404', 'message': 'city not found'}"
57,tulcingo,mx,"{'cod': '404', 'message': 'city not found'}"
58,bacuit,ph,"{'cod': '404', 'message': 'city not found'}"
59,marcona,pe,"{'cod': '404', 'message': 'city not found'}"
60,gurgan,az,"{'cod': '404', 'message': 'city not found'}"
61,amderma,ru,"{'cod': '404', 'message': 'city not found'}"
62,raga,sd,"{'cod': '404', 'message': 'city not found'}"
63,dolbeau,ca,"{'cod': '404', 'message': 'city not found'}"
64,rolim de moura,br,"{'cod': '404', 'message': 'city not found'}"
65,rawannawi,ki,"{'cod': '404', 'message': 'city not found'}"
66,kazalinsk,kz,"{'cod': '404', 'message': 'city not found'}"
67,tawkar,sd,"{'cod': '404', 'message': 'city not found'}"
68,gangotri,in,"{'cod': '404', 'message': 'city not found'}"
69,attawapiskat,ca,"{'cod': '404', 'message': 'city not found'}"
70,sorvag,fo,"{'cod': '404', 'message': 'city not found'}"
71,tumannyy,ru,"{'cod': '404', 'message': 'city not found'}"
72,taburi,ph,"{'cod': '404', 'message': 'city not found'}"
73,babanusah,sd,"{'cod': '404', 'message': 'city not found'}"
74,saint-georges,gf,"{'cod': '404', 'message': 'city not found'}"
75,villazon,bo,"{'cod': '404', 'message': 'city not found'}"
76,bokspits,bw,"{'cod': '404', 'message': 'city not found'}"
77,rungata,ki,"{'cod': '404', 'message': 'city not found'}"
78,zhanatas,kz,"{'cod': '404', 'message': 'city not found'}"
79,baturite,br,"{'cod': '404', 'message': 'city not found'}"
80,kalokhorion,gr,"{'cod': '404', 'message': 'city not found'}"
81,syracuse,it,"{'cod': '404', 'message': 'city not found'}"
82,olafsvik,is,"{'cod': '404', 'message': 'city not found'}"
